# Wii Play RHAP01 rev 1: the AI tick 0x8026BB3C run by scratch/oracle on a Dolphin dump.
# One line per frame. Vectors are the XZ plane of A+0x8C (turret) before the tick, A+0x80
# (aim, as the slew read it) and A+0x8C after the tick. s = A+0x20, the slew tangent (record field 38).
# frame s turret_x turret_z aim_x aim_z next_x next_z
0 0.00999999978 0.487420857 -0.873167038 -0.904485166 -0.42650497 0.478665262 -0.877997339
1 0.00999999978 0.478665262 -0.877997339 -0.904485166 -0.42650497 0.469861805 -0.882739842
2 0.00999999978 0.469861805 -0.882739842 -0.904485166 -0.42650497 0.46101141 -0.88739419
3 0.00999999978 0.46101141 -0.88739419 -0.904485166 -0.42650497 0.45211482 -0.891959608
4 0.00999999978 0.45211482 -0.891959608 -0.904485166 -0.42650497 0.44317311 -0.896436036
5 0.00999999978 0.44317311 -0.896436036 -0.904485166 -0.42650497 0.434187055 -0.900822699
6 0.00999999978 0.434187055 -0.900822699 -0.904485166 -0.42650497 0.425157577 -0.9051193
7 0.00999999978 0.425157577 -0.9051193 -0.904485166 -0.42650497 0.416085571 -0.909325421
8 0.00999999978 0.416085571 -0.909325421 -0.904485166 -0.42650497 0.406971961 -0.913440645
9 0.00999999978 0.406971961 -0.913440645 -0.904485166 -0.42650497 0.397817612 -0.917464375
10 0.00999999978 0.397817612 -0.917464375 -0.904485166 -0.42650497 0.388623536 -0.921396494
11 0.00999999978 0.388623536 -0.921396494 -0.904485166 -0.42650497 0.379390597 -0.925236464
12 0.00999999978 0.379390597 -0.925236464 -0.904485166 -0.42650497 0.37011975 -0.928983986
13 0.00999999978 0.37011975 -0.928983986 -0.904485166 -0.42650497 0.360811889 -0.932638526
14 0.00999999978 0.360811889 -0.932638526 -0.904485166 -0.42650497 0.351467937 -0.936199903
15 0.00999999978 0.351467937 -0.936199903 -0.904485166 -0.42650497 0.342088789 -0.939667523
16 0.00999999978 0.342088789 -0.939667523 -0.904485166 -0.42650497 0.332675487 -0.943041265
17 0.00999999978 0.332675487 -0.943041265 -0.904485166 -0.42650497 0.323228925 -0.946320713
18 0.00999999978 0.323228925 -0.946320713 -0.904485166 -0.42650497 0.313750029 -0.949505508
19 0.00999999978 0.313750029 -0.949505508 -0.904485166 -0.42650497 0.30423975 -0.952595413
20 0.00999999978 0.30423975 -0.952595413 -0.904485166 -0.42650497 0.294699043 -0.95559001
21 0.00999999978 0.294699043 -0.95559001 -0.904485166 -0.42650497 0.285128891 -0.95848906
22 0.00999999978 0.285128891 -0.95848906 -0.904485166 -0.42650497 0.275530249 -0.961292386
23 0.00999999978 0.275530249 -0.961292386 -0.904485166 -0.42650497 0.265904039 -0.96399945
24 0.00999999978 0.265904039 -0.96399945 -0.904485166 -0.42650497 0.256251216 -0.966610134
25 0.00999999978 0.256251216 -0.966610134 -0.904485166 -0.42650497 0.246572778 -0.969124198
26 0.00999999978 0.246572778 -0.969124198 -0.904485166 -0.42650497 0.236869693 -0.971541345
27 0.00999999978 0.236869693 -0.971541345 -0.904485166 -0.42650497 0.22714293 -0.973861337
28 0.00999999978 0.22714293 -0.973861337 -0.777823091 -0.628483236 0.217393443 -0.976083934
29 0.00999999978 0.217393443 -0.976083934 -0.777823091 -0.628483236 0.207622215 -0.978208959
30 0.00999999978 0.207622215 -0.978208959 -0.777823091 -0.628483236 0.19783023 -0.980236173
31 0.00999999978 0.19783023 -0.980236173 -0.777823091 -0.628483236 0.188018486 -0.982165456
32 0.00999999978 0.188018486 -0.982165456 -0.777823091 -0.628483236 0.178187922 -0.983996391
33 0.00999999978 0.178187922 -0.983996391 -0.777823091 -0.628483236 0.168339536 -0.985728979
34 0.00999999978 0.168339536 -0.985728979 -0.777823091 -0.628483236 0.158474311 -0.98736304
35 0.00999999978 0.158474311 -0.98736304 -0.777823091 -0.628483236 0.148593247 -0.988898337
36 0.00999999978 0.148593247 -0.988898337 -0.777823091 -0.628483236 0.138697341 -0.990334749
37 0.00999999978 0.138697341 -0.990334749 -0.777823091 -0.628483236 0.128787562 -0.991672158
38 0.00999999978 0.128787562 -0.991672158 -0.777823091 -0.628483236 0.118864894 -0.992910385
39 0.00999999978 0.118864894 -0.992910385 -0.777823091 -0.628483236 0.108930342 -0.994049311
40 0.00999999978 0.108930342 -0.994049311 -0.777823091 -0.628483236 0.0989849046 -0.995088816
41 0.00999999978 0.0989849046 -0.995088816 -0.777823091 -0.628483236 0.0890295655 -0.99602896
42 0.00999999978 0.0890295655 -0.99602896 -0.777823091 -0.628483236 0.0790653154 -0.996869326
43 0.00999999978 0.0790653154 -0.996869326 -0.777823091 -0.628483236 0.0690931678 -0.997610092
44 0.00999999978 0.0690931678 -0.997610092 -0.777823091 -0.628483236 0.0591141172 -0.9982512
45 0.00999999978 0.0591141172 -0.9982512 -0.777823091 -0.628483236 0.0491291508 -0.99879241
46 0.00999999978 0.0491291508 -0.99879241 -0.777823091 -0.628483236 0.0391392633 -0.999233663
47 0.00999999978 0.0391392633 -0.999233663 -0.777823091 -0.628483236 0.0291454718 -0.999575138
48 0.00999999978 0.0291454718 -0.999575138 -0.777823091 -0.628483236 0.0191487633 -0.999816597
49 0.00999999978 0.0191487633 -0.999816597 -0.777823091 -0.628483236 0.00915013999 -0.999958098
